two_word
"solv 36"
"prosecut becaus"
"young man"
"boy pleas"
"never forget"
"becaus harvey"
"harvey weinstein"
"much polit"
"polit protect"
"protect dure"
"obama yr"
"inconveni fact"
"school parti"
"bathroom floor"
"took year"
"went forward"
"import read"
"pleas talk"
"brave woman"
"tell thier"
"thier account"
"colleg boyfriend"
"boyfriend put"
"put someth"
"next morn"
"insert anoth"
"anoth one"
"two tampon"
"tampon came"
"becaus appar"
"assail said"
"wit look"
"look away"
"felt confus"
"anyon ever"
"parent alreadi"
"done anyth"
"happen sinc"
"s mental"
"mental unstabl"
"exhibit j"
"start drama"
"final speak"
"whyididntreport technic"
"near 7"
"thought everyth"
"onli abus"
"small girl"
"til middl"
"onli reason"
"singl mom"
"help take"
"take care"
"threaten u"
"told u"
"polic forc"
"help u"
"polic friend"
"remind u"
"violent town"
"catch u"
"u alon"
"alon whenev"
"whenev possibl"
"abus u"
"start tri"
"rape u"
"away multipl"
"multipl time"
"said noth"
"abus one"
"girl come"
"seem like"
"final see"
"see justic"
"cousin s"
"trash husband"
"husband threaten"
"entir case"
"wander around"
"around free"
"free live"
"woman suppos"
"peopl attack"
"egregi offend"
"offend like"
"top 3"
"3 reason"
"can t"
"frequent swept"
"swept assault"
"assault report"
"militari career"
"two email"
"seven year"
"year apart"
"apart u0001f447"
"rosenstein loos"
"loos cannon"
"lie trump"
"nyt publish"
"still keep"
"keep fight"
"whatev reason"
"pretti sure"
"said anyth"
"anyth either"
"club event"
"club look"
"club member"
"get school"
"3 day"
"day ago"
"mayb 8"
"either ruin"
"m tell"
"read stori"
"situat like"
"also piss"
"n christin"
"attempt sexual"
"report might"
"veri embarrass"
"told anyon"
"rape sinc"
"figur nobodi"
"physic evid"
"treat like"
"sexual assualt"
"assualt survivor"
"live next"
"twice within"
"around woman"
"20 year"
"alreadi victim"
"victim blame"
"n entendo"
"entendo oq"
"oq xe9"
"xe9 passar"
"passar por"
"por isso"
"minha amiga"
"amiga foi"
"foi assedia"
"assedia por"
"por um"
"um professor"
"um dia"
"dia ela"
"aguentou e"
"e contou"
"contou pra"
"pra diretora"
"q ela"
"acreditou e"
"e espalhou"
"espalhou boato"
"boato falso"
"falso pela"
"pela escola"
"kangaroo court"
"took mani"
"mani year"
"event clear"
"ex husband"
"go away"
"ni d"
"d lose"
"right befor"
"befor sunset"
"chestnutwold elementari"
"elementari school"
"school park"
"piano teacher"
"teacher expos"
"told adult"
"said let"
"s get"
"new teacher"
"hard feel"
"everyon like"
"freak monster"
"michael cohen"
"pour rain"
"rain 22"
"22 mile"
"parent told"
"nice girl"
"pleas rememb"
